범죄분류,이욕(생활비),이욕(유흥비),이욕(도박비),이욕(허영사치심),이욕(치부),이욕(기타),사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
살인기수,1,0,0,0,3,11,1,1,41,0,0,120,18,4,110,69
살인미수등,0,0,0,0,1,7,0,7,40,0,0,257,42,5,189,68
강도,296,167,17,0,0,266,26,3,1,5,26,290,20,13,427,159
강간,12,11,1,5,6,231,5,1,40,256,267,1410,35,66,1800,1683
유사강간,2,0,1,0,0,20,0,0,6,53,26,187,0,9,188,106
강제추행,1,0,0,5,5,334,15,1,28,1275,492,5423,63,526,5495,2353
기타 강간 강제추행등,9,1,1,0,1,32,0,0,5,34,26,156,3,2,199,52
방화,2,0,1,0,1,19,0,6,110,54,3,500,120,60,386,134
절도범죄,9924,2365,234,161,40,18129,1600,7,71,4680,2170,29117,295,3162,25513,8947
상해,16,13,3,1,3,175,23,52,3951,30,9,36355,903,886,18123,5152
폭행,103,12,2,2,6,202,38,116,15349,120,25,60254,1551,1716,32459,104902
체포 감금,18,12,2,1,1,40,5,5,91,2,5,401,37,19,481,567
협박,10,4,0,1,5,77,7,90,1754,35,10,5558,285,442,4081,4466
약취 유인,7,0,0,0,0,34,0,0,14,2,14,41,0,3,101,89
폭력행위등,195,172,12,3,2,856,76,112,401,204,20,19123,511,476,11805,6995
공갈,204,132,16,6,2,593,66,0,6,22,20,480,38,40,1038,975
손괴,16,2,1,0,2,272,16,15,2082,127,11,15199,830,1096,10042,5284
직무유기,0,0,0,0,0,4,0,0,0,0,0,1,0,19,131,487
직권남용,0,0,0,0,0,3,0,0,1,0,1,5,0,6,82,479
증수뢰,13,1,2,0,3,141,40,0,0,2,31,6,0,15,362,172
통화,12,7,0,0,0,24,13,0,0,4,0,2,0,3,28,127
문서 인장,480,24,8,7,9,1294,149,0,16,596,109,431,16,684,5594,8607
유가증권인지,15,0,0,0,0,28,5,0,1,0,1,5,0,3,81,234
사기,16280,2120,1173,165,226,22617,2470,1,49,454,622,5290,195,4227,55702,111619
횡령,1571,154,87,24,24,3962,374,0,7,487,285,3346,29,904,9008,15321
배임,126,2,6,3,5,565,21,0,2,1,19,32,3,163,1789,4871
성풍속범죄,234,9,0,5,4,686,41,4,22,2831,293,1980,59,470,3685,884
도박범죄,712,463,349,19,11,4955,11999,0,3,1701,311,1616,11,467,9576,1749
특별경제범죄,4058,114,14,14,76,6017,669,24,57,312,198,11257,854,4204,26345,23456
마약범죄,108,8,2,2,0,328,38,0,12,884,1228,559,106,603,3638,927
보건범죄,2385,7,4,2,36,2509,135,0,5,19,33,412,29,2414,10832,2827
환경범죄,100,1,0,0,4,267,13,0,1,5,28,47,4,1066,1807,459
교통범죄,376,12,2,3,7,802,136,3,160,1622,1350,28692,299,179206,174876,167806
노동범죄,1110,4,3,2,4,1065,16,0,3,2,57,143,0,261,2779,411
안보범죄,4,0,0,5,0,12,1,0,0,3,0,2,8,1,41,74
선거범죄,0,0,0,0,1,61,0,2,0,2,3,68,21,89,823,455
병역범죄,135,0,0,1,0,156,7,0,35,5,1,215,46,3884,10510,664
기타범죄,15551,317,57,80,374,18924,2391,46,1366,5794,1981,26636,2447,36982,126756,71168
